sheet序号,系统/跑测表,系统归一名,问题数,主要负责职能,主要解决人员,负责UI,状态分布,所属模块,样例问题
3,wegame跑测,wegame跑测,0,,,,,,
4,道具详情,道具详情,10,拼接(10),陈建婵(10),,已关闭(9)、未处理(1),道具背包(10),悬浮态错误，偏了；PC适配错误，看了下手游的也不对，请检查下适配问题；列表底错误，按钮非pc按钮，非通用按钮
5,背包-手游,背包-手游,21,拼接(18)、客户端(2)、动效(1),杨帅帅(9)、陈建婵(8)、钱程(2)、李汉超(1)、蔡婷艳(1),,未处理(14)、已关闭(7),,角色模型位置歪了；种子空状态的框往右移动一点；删除和整理的按钮样式常态是浅灰色，选中态是米白色反色
6,1-设置（音画、键鼠）,设置(音画、键鼠),14,客户端(11)、策划(3)、拼接(1),谭兆飞(9)、胡启尧(2)、周笑宇(1)、蔡婷艳(1)、范长鸿(1),,未处理(14),,pc端背包的底部栏转移和丢弃按钮删除为空时，会随机显示一个快捷键显示；底部弱提示信息字色与效果图不一致；二次弹窗重点信息未标记强调字色
7,2-Loading,loading,2,拼接(2),蔡婷艳(2),,未处理(1)、修复完成(1),,loading右侧被裁切2像素；右侧文字，右对齐
8,3-自动售货机（遗迹）,自动售货机(遗迹),5,拼接(4)、客户端(1),,冯建恒(5),未处理(5),,tips呼出热区应该扩大为如图所示；右侧内容适配异常，应该是右右关联舞台；卡片缺少通用选中动效
9,4-模块载具改装,模块载具改装,7,拼接(6)、客户端(1)、动效(1),林斌(6)、庄博士(1),,已关闭(6)、修复完成(1),载具系统(6),打开载具改装界面后。HUD消失动效有问题；载具改装界面的按钮都非pc按钮，需要对照组件库里的规范 / 检查按钮/按钮上的字号；弹窗底图有拉伸
10,4-领地维护,领地维护,4,拼接(4),,李宁(4),未处理(4),,信息重叠，资源也不是最新的，字号字色也有问题；去掉左侧底板；这个问题比较多，详情看附图描述
11,5-聊天系统,聊天系统,81,拼接(63)、客户端(14)、GUI(8)、策划(7),蔡婷艳(61)、范长鸿(9)、王丰(6)、黄志伟(1)、杨帅帅(1),李宁(41),未处理(35)、已关闭(21),社交系统(21),大厅聊天敲击回车无反应，未呼出聊天界面；打开聊天窗口时，简略显示可隐藏；冷却中，仍然可以输入表情包，导致表情包和冷却文本重叠在一起了
12,7-多分辨率适配,多分辨率适配,4,拼接(3)、客户端(1),杨帅帅(3)、李河斌(1),,已关闭(3)、未处理(1),建造系统(1),带鱼屏中，臻品流通中-查看奖池的界面背景图黑色遮罩适配问题；带鱼屏侧边弹窗未适配；局内选择弹窗右侧未铺满
13,8-科技树,科技树,19,拼接(15)、动效(2)、UX(1)、客户端(1),石凤姣(8)、蔡婷艳(4)、谢爱萍(2)、李汉超(2)、李秋(2),,已关闭(18)、未处理(1),科技制造(18),pc端列表滚轮滑动曲线参数调整；解锁按钮点击会有缩放效果；点击科技后，连接线未显示“连接”状态
14,9-创角,创角,11,拼接(6)、客户端(3),傅柄乔(6)、范长鸿(3)、项博希(2),李萨(1),待修复(9)、未处理(2),,pc端身份选项没有hover态；pc端发型和发色选项没hover态；pc端选发型界面，人物模型需左侧区域居中
15,10-载具系统（降落伞+直升机）,载具系统(降落伞+直升机),36,客户端(24)、拼接(10)、GUI(2),任天龙(14)、蔡婷艳(8)、黄伟平(2)、唐龙峰(1)、巫佳翔(1),,未处理(25)、已关闭(10),载具模块(12),废料运输机在地面被破坏时，掉落资源直接悬浮；废料运输机载具小图标用的还是小直升机的；引擎未启动时，废料运输机可以发射诱饵弹
16,11-PC端背包,pc端背包,123,客户端(80)、拼接(31)、策划(13)、UX(5)、GUI(2),黄兴鹏(42)、蔡婷艳(24)、李洪成(5)、李河斌(3)、黄兴鹏 黄志伟(1),,未处理(64)、待修复(36)、已关闭(20)、修复完成(3),PC专项(6),夜视仪的全屏效果被关闭；寒冷效果不显示；受击效果不显示
17,容器系统,容器系统,31,客户端(20)、拼接(12)、UX(1),蔡婷艳(10)、黄兴鹏(7)、熊庆来(大熊)(6)、熊庆来(3)、熊庆来\蔡婷艳(1),,未处理(20)、待修复(10)、已关闭(1),@刘广宇(1),选中down时白边应该常驻，选中悬浮selectedOver白边也应该显示，现在做成了只有选中之后出现白边，只要鼠标挪走白边就会消失（最好通过熔炉打开界面，测试发现通过其他容器打开界面有概率显示正常）；同一块地基上多个转化类容器，如果通过页签切换界面，左侧的道具大图标没有更新；界面的竖线条需要按照效果图进行调整
18,12-宝箱（密码箱、保险箱等）,宝箱(密码箱、保险箱等),13,拼接(10)、GUI(2)、客户端(2)、策划(1),陈建婵(10)、黄志伟(2),,未处理(8)、已关闭(5),地图机制(12),密码箱交互完进入二级只有1个选项，可直接一级打开；保险箱的背景图与ui信息会错位，需调整适配；通用pc端弹窗，未显示esc键位关闭
19,13-挖掘机,挖掘机,9,客户端(9)、策划(4)、UX(1),张鹤显(4),张鹤显(1),未处理(5)、已关闭(4),地图机制(9),添加原油为数量1时，左侧第一个格子显示转化中且显示添加图标；点击右侧产出的道具，弹出通用道具tips在左侧；关闭后再次打开挖掘机界面，未显示【取出】按钮且按钮置灰没弹出提示
20,15-领地残骸,领地残骸,1,拼接(1),杨帅帅(1),,未处理(1),抄家流程 / PC(1),文本和icon重叠，文本适配方式不对，与GUI效果不符合
21,14-大厅仓库,大厅仓库,21,拼接(18)、GUI(1)、策划(1)、动效(1),林斌(17)、王丰(1)、李汉超(1),李宁\蒲诗雨(15),待修复(8)、未处理(7)、已关闭(3),大厅系统(4),详情按钮的热区应该扩大如图所示；缺少hover态；分解弹窗，文本未居中对齐，步进器滑杆过长，尺寸不对，参看效果图
22,16-邮箱,邮箱,1,客户端(1),,,未处理(1),,删除全部已读邮件弹窗，缺少标题文本，确认按钮未使用红色强调按钮
23,17-射频发射器,射频发射器,8,拼接(5)、客户端(2)、GUI(1),蔡婷艳(5)、周佳良(2),,已关闭(6)、未处理(1),武器装备(5)、投掷武器(1),建议优化： / 1.默认不选中； / 2.弹窗位置固定；；装饰线没有适配；底部按钮位置不对，和关闭按钮重叠了
24,18-设置（除音画、键鼠）,设置(除音画、键鼠),16,拼接(13)、GUI(4)、客户端(3)、UX(1),蔡婷艳(6)、陈建婵(4)、冯健恒 蔡婷艳(2)、李萨(1)、刘剑帆(1),,已关闭(8)、未处理(7),PC专项(12)、大厅系统(1)、通用系统(1),霰弹枪准心右边的资源稍微偏左了，也不够圆；pc准星颜色选中框不居中；底部键位和下载二维码重叠
25,19-领地权限管理,领地权限管理,7,拼接(7),陈建婵(7),,已关闭(7),PC专项(7),边缘渐隐未打开；默认间距有点挤；列表抬头和内容位置都不对
26,20-模式选择流程,模式选择流程,25,拼接(20)、客户端(4)、动效(3)、GUI(2),谢爱萍(15)、彭歆妍\徐泽亮(1)、黄建敏\蔡婷艳(1)、黄建敏(1)、谢爱萍 李汉超(1),彭歆妍(1),未处理(16)、已关闭(8),,左侧列表卡片（需要动效）、下拉按钮、地图、右上角下拉没有hover态；三角箭头反了，未展开时朝下，展开时朝上；模式选择PC左侧的模式图没有替换成正式的
27,21-剧本系统,剧本系统,15,拼接(14)、客户端(1)、动效(1)、策划(1),杨帅帅(8)、蔡婷艳(1)、李汉超(1)、冯晨星(1),彭歆妍(3)、李艺(2),已关闭(11)、未处理(1),局内玩法系统(5),情报界面UI错位；5和7阶段的特色icon重复了；HUD上的画质提示和logo出现在了界面上
28,22-炸家优化,炸家优化,17,,李秋(14)、吴承峰(3),,待修复(9)、已关闭(8),,hud职业图标太大了；原始炸家 没有床位复活点；图中地图攻守建筑都有有问题 402配置
29,24-载具商店,载具商店,4,客户端(3)、拼接(1),,冯建恒(4),未处理(4),,库存显示功能错误；卡片缺少悬浮态；商店右上角未显示货币数量组件
30,25-领地升级&编辑&蓝图,领地升级&编辑&蓝图,21,拼接(20)、客户端(3)、UX(3)、策划(1)、GUI(1),林斌(20),王京京(19),已关闭(17)、未处理(1),建造系统(19),按钮位置适配错误；文本未对齐；2个空状态的高度位置不统一
31,28-道具tips,道具tips,47,拼接(30)、客户端(17)、UX(3)、策划(3),陈建婵(29)、庄博士(9)、石凤姣 庄博士(3)、陈建婵庄博士(1)、王丰(1),,未处理(30)、修复完成(14)、已关闭(3),道具背包(1),底部按钮不应该有两层结构；点击道具阻塞；道具文案说明没了
32,26-制造系统,制造系统,38,拼接(29)、客户端(6)、策划(1),李秋(29)、庄博士(5)、谭兆飞(1)、袁界(1),蒲诗雨(34)、李萨(4),已关闭(24)、修复完成(8)、未处理(5)、待修复(1),科技制造(9),卡片缺少悬浮态；右下角按钮应该用自由尺寸按钮，宽度拉长一点；这一组二级材料制作的按钮尺寸不对，拼接调整样式
33,27-登录流程,登录流程,23,客户端(16)、拼接(7)、策划(2)、GUI(1),胡亚(12)、谢爱萍(3)、李河斌(2)、傅柄乔(2)、胡亚 郭阳阳(1),,未处理(16)、已关闭(4)、修复完成(3),大厅系统(7),加载的loading界面，文字改为：加载中...；登录界面右侧按钮hover无文明说明tips；pc端选服弹窗输入esc无法退出
34,28-区服选择,区服选择,18,客户端(14)、拼接(4)、GUI(1)、策划(1),胡亚(13)、傅柄乔(2)、蔡婷艳(1)、谢爱萍(1)、郭阳阳(1),,未处理(9)、已关闭(6)、修复完成(2),大厅系统(3),我的大区空状态组件超框；区服选择弹窗界面表现不符合PC端最新规范，缺少Esc退出提示；区服选择弹窗无法关闭，应为通用弹窗关闭逻辑
35,新手关排队,新手关排队,3,客户端(3),李郑(2)、冯健恒(1),,,,双端等候登岛弹窗，左侧专属通道排队中按钮样式不对，应该是tip态表现不是灰态；双端跳过新手关确认框 1、缺少标题，2、确认按钮样式不对，应跟取消表现相同，而不是红色；PC端小弹窗的按钮长短不一，两个按钮过长
36,OB,ob,4,拼接(2)、GUI(1)、策划(1)、客户端(1),李宁(1)、李承远(1)、蔡婷艳(1)、胡亚(1),,,,OB菜单服务器列表信息重叠；OB菜单搜索框默认没有显示提示文本；OB菜单通用搜索组件表现不对： / 1、输入框内容情况按钮未居中 / 2、搜索按钮悬浮态变很大
37,29-PC端扬声器麦克风,pc端扬声器麦克风,6,客户端(3)、策划(2)、拼接(2),蔡婷艳(2)、北境(1)、谭兆飞(1)、周佳良(1),,未处理(5)、已关闭(1),大厅系统(2),设置内麦克风扬声器切换设置未检测输入；队友语音设置不生效；切换扬声器快捷键alt+M会触发地图
38,31-GVoice,gvoice,14,客户端(11)、拼接(8)、动效(5)、GUI(2)、UX(2),蔡婷艳(2)、石凤姣(2)、范长鸿(2)、杨帅帅(2)、李汉超(1),,已关闭(13)、未处理(1),社交系统(14),移动端Hud【扬声器】和【麦克风】入口非常难以选中，点几十次也不一定能打开功能面板；移动端麦克风图标语音输入动效卡顿不丝滑，正常说话音量动效颜色会填满整个图标且脉动播放疑似有延迟；二级面板与入口未对齐，目前的样子非顶对齐、非居中对齐也非底对齐，且对小地图有大面积遮挡看上去感觉很乱
39,32-社群系统,社群系统,30,拼接(23)、客户端(10)、GUI(5)、策划(4)、动效(1),傅柄乔(20)、吴鑫(2)、刘玮(2)、谭兆飞(1)、徐泽亮(1),,已关闭(23)、未处理(5)、修复完成(1),社交系统(29),灯牌图标与等级间距较大；灯牌编辑中文本显示效果不对，颜色会暗看不清；社群灯牌弹窗_成长体系分页中 我当前的灯牌文本与灯牌组件未居中对齐
40,33-局内外好友系统,局内外好友系统,27,拼接(21)、客户端(9)、策划(1)、GUI(1),杨帅帅(19)、胡亚(4)、谭兆飞(1)、庄博士(1),,未处理(16)、已关闭(11),社交系统(27),友好度弹框内容与效果图差别较大，字色不统一，两段文本间距太小；tip文本配置的格式不太对；好友系统各三级弹框缺少标题
41,34-公告系统,公告系统,13,拼接(12)、客户端(7)、策划(1)、GUI(1),陈建婵(6)、刘剑帆(3)、陈建婵 刘剑帆(1)、李河斌(1)、刘珺霖(1),,未处理(7)、已关闭(6),工具(3),登录界面点击公告按钮调出的公告弹窗标题缺失；登录界面点击公告按钮调出的公告弹窗关闭提示缺少快捷键，不符合规范，需要拼接联合客户端旧改更新；PC更新公告界面与GUI效果图差距很大
42,35-安全下线,安全下线,6,拼接(5)、客户端(1),蔡婷艳(5),,未处理(6),,通用提示文本位置偏下；提示文本底板透明度不对；摆放帐篷读条提示缺少icon
43,6-声纹系统,声纹系统,6,客户端(5)、拼接(1),范长鸿(5)、蔡婷艳(1),,未处理(6),通用系统(6),罗盘胖声纹箭头与声纹重叠；中控台界面声纹位置需与其他全屏界面显示不一致，往上挪动；中控台-商品banner图-臻品流通的声纹位置与其他全屏界面显示不一致，需往上挪动显示
